,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
6793828,1.0,5.0,2.0,1.0,2.0,4.0
6796050,0.0,1.0,0.0,3.0,0.0,0.0
6797897,0.0,1.0,0.0,3.0,0.0,0.0
6797992,5.0,5.0,-1.0,1.0,2.0,4.0
6798719,1.0,5.0,0.0,2.0,0.0,4.0
6799755,0.0,1.0,0.0,3.0,0.0,0.0
6799991,1.0,5.0,2.0,1.0,2.0,4.0
6800192,5.0,5.0,-1.0,1.0,2.0,4.0
6800957,1.0,1.0,0.0,2.0,0.0,0.0
680447988,0.0,1.0,0.0,3.0,0.0,0.0
6806862,1.0,1.0,0.0,2.0,0.0,0.0
6807076,1.0,1.0,0.0,2.0,0.0,0.0
6807197,1.0,1.0,0.0,2.0,0.0,0.0
680808,1.0,5.0,2.0,1.0,2.0,4.0
6808162,1.0,5.0,0.0,2.0,0.0,4.0
6809903,0.0,1.0,0.0,3.0,0.0,0.0
6812133,0.0,1.0,0.0,3.0,0.0,0.0
6813611,1.0,5.0,0.0,1.0,2.0,4.0
6815678,0.0,1.0,0.0,3.0,0.0,0.0
681725,0.0,1.0,-1.0,3.0,0.0,0.0
6819068,1.0,1.0,0.0,2.0,0.0,0.0
6820150,1.0,5.0,0.0,2.0,0.0,4.0
6820479,1.0,1.0,0.0,2.0,0.0,0.0
682151,0.0,1.0,-1.0,3.0,0.0,5.0
6824947,1.0,5.0,0.0,1.0,2.0,4.0
682551,0.0,1.0,0.0,3.0,0.0,0.0
6825571,1.0,5.0,0.0,2.0,0.0,4.0
682715040,5.0,0.0,-1.0,1.0,2.0,1.0
682781,2.0,0.0,-1.0,1.0,2.0,1.0
6828683,1.0,5.0,2.0,1.0,2.0,4.0
6828985,1.0,1.0,0.0,2.0,0.0,0.0
6831082,1.0,1.0,0.0,3.0,0.0,0.0
6833732,1.0,1.0,0.0,2.0,0.0,0.0
6835805,1.0,5.0,0.0,1.0,2.0,4.0
6839691,5.0,5.0,-1.0,1.0,2.0,4.0
684760,1.0,1.0,0.0,2.0,0.0,0.0
6847890,0.0,1.0,0.0,3.0,0.0,0.0
68485,1.0,1.0,0.0,2.0,0.0,0.0
6849622,1.0,5.0,0.0,2.0,0.0,4.0
6849639,1.0,5.0,2.0,1.0,2.0,4.0
6850651,0.0,1.0,0.0,3.0,0.0,0.0
6851865,3.0,1.0,0.0,3.0,0.0,0.0
685288,5.0,5.0,-1.0,1.0,2.0,4.0
68542845,1.0,1.0,0.0,2.0,0.0,0.0
6855153,1.0,1.0,0.0,3.0,0.0,0.0
6856363,5.0,5.0,1.0,1.0,2.0,4.0
6856450,0.0,1.0,0.0,3.0,0.0,0.0
6859159,5.0,5.0,2.0,1.0,2.0,4.0
6860563,1.0,1.0,0.0,2.0,0.0,0.0
6862761,0.0,1.0,-1.0,3.0,0.0,0.0
6865029,1.0,1.0,0.0,3.0,0.0,0.0
6866936,1.0,1.0,0.0,2.0,0.0,0.0
6867722,0.0,1.0,0.0,3.0,0.0,0.0
6868807,1.0,1.0,0.0,3.0,0.0,0.0
68718,2.0,0.0,-1.0,4.0,2.0,1.0
68722,0.0,1.0,0.0,3.0,0.0,0.0
6872910,1.0,1.0,0.0,2.0,0.0,0.0
6874977,1.0,1.0,0.0,3.0,0.0,0.0
6879210,5.0,5.0,-1.0,1.0,2.0,4.0
6883207,5.0,5.0,-1.0,1.0,2.0,4.0
6883633,0.0,1.0,0.0,3.0,0.0,0.0
688502,1.0,1.0,0.0,2.0,0.0,0.0
6885028,1.0,5.0,0.0,2.0,2.0,4.0
6885963,5.0,0.0,-1.0,1.0,2.0,1.0
688851,1.0,5.0,0.0,1.0,2.0,4.0
6889109,1.0,1.0,0.0,2.0,0.0,0.0
6892054,1.0,1.0,0.0,2.0,0.0,0.0
689226,2.0,0.0,-1.0,4.0,2.0,1.0
6895601,1.0,1.0,0.0,2.0,0.0,0.0
6901429,0.0,1.0,0.0,3.0,0.0,0.0
6902500,1.0,1.0,0.0,2.0,0.0,0.0
6906178,0.0,1.0,0.0,3.0,0.0,0.0
6906258,1.0,5.0,0.0,1.0,2.0,4.0
6907307,0.0,1.0,-1.0,3.0,0.0,5.0
6910587,0.0,1.0,0.0,3.0,0.0,0.0
6911836,1.0,1.0,0.0,3.0,0.0,0.0
6912870,5.0,5.0,-1.0,1.0,2.0,4.0
69129328,2.0,4.0,-1.0,0.0,3.0,3.0
6916602,1.0,5.0,0.0,1.0,2.0,4.0
6919111,0.0,1.0,0.0,3.0,0.0,0.0
6920915,1.0,5.0,0.0,2.0,2.0,4.0
6924957,1.0,1.0,0.0,3.0,0.0,0.0
69252157,5.0,0.0,-1.0,1.0,2.0,1.0
6926025,1.0,5.0,0.0,2.0,0.0,4.0
6930108,1.0,1.0,0.0,3.0,0.0,0.0
693224,0.0,1.0,0.0,3.0,0.0,0.0
69350667,1.0,5.0,0.0,2.0,2.0,4.0
6935104,0.0,1.0,0.0,3.0,0.0,0.0
6936156,1.0,5.0,0.0,1.0,2.0,4.0
6939193,5.0,5.0,-1.0,1.0,2.0,4.0
6941269,1.0,1.0,0.0,3.0,0.0,0.0
694144,1.0,1.0,0.0,3.0,0.0,0.0
6944734,1.0,1.0,0.0,2.0,0.0,0.0
6945011,1.0,1.0,0.0,2.0,0.0,0.0
6945626,1.0,1.0,0.0,2.0,0.0,0.0
6947020,0.0,1.0,0.0,3.0,0.0,0.0
6949342,0.0,1.0,-1.0,3.0,0.0,0.0
6953661,0.0,1.0,0.0,3.0,0.0,0.0
6955943,0.0,1.0,0.0,3.0,0.0,0.0
695738,1.0,1.0,0.0,2.0,0.0,0.0
695812,5.0,0.0,-1.0,1.0,2.0,1.0
696194,0.0,1.0,0.0,3.0,0.0,0.0
69669599,1.0,1.0,0.0,3.0,0.0,0.0
69714216,4.0,1.0,0.0,3.0,0.0,0.0
698008051,5.0,5.0,-1.0,1.0,2.0,4.0
6981841,1.0,1.0,0.0,3.0,0.0,0.0
698337126,1.0,1.0,0.0,3.0,0.0,0.0
69854114,5.0,0.0,-1.0,1.0,2.0,1.0
69863782,1.0,5.0,0.0,2.0,0.0,4.0
6991776,1.0,1.0,0.0,2.0,0.0,0.0
6995240,1.0,1.0,0.0,2.0,0.0,0.0
6997375,5.0,5.0,-1.0,1.0,2.0,4.0
6999696,0.0,1.0,0.0,3.0,0.0,0.0
7001368,1.0,1.0,0.0,2.0,0.0,0.0
7002320,0.0,1.0,0.0,3.0,0.0,0.0
7007463,1.0,1.0,0.0,2.0,0.0,0.0
700838,1.0,1.0,0.0,3.0,0.0,0.0
7008504,1.0,1.0,0.0,2.0,0.0,0.0
7008589,1.0,1.0,0.0,2.0,0.0,0.0
7011018,1.0,1.0,0.0,2.0,0.0,0.0
70118441,1.0,5.0,2.0,1.0,2.0,4.0
70121924,1.0,1.0,0.0,3.0,0.0,0.0
7015901,0.0,1.0,0.0,3.0,0.0,0.0
7016335,1.0,1.0,0.0,3.0,0.0,0.0
7017277,0.0,1.0,0.0,3.0,0.0,0.0
7017861,5.0,5.0,-1.0,1.0,2.0,4.0
702338,0.0,1.0,0.0,3.0,0.0,0.0
7026979,1.0,1.0,0.0,2.0,0.0,0.0
702828,3.0,1.0,0.0,3.0,0.0,0.0
7029779,5.0,0.0,-1.0,1.0,2.0,1.0
703113,1.0,1.0,0.0,3.0,0.0,0.0
7031439,2.0,4.0,-1.0,0.0,3.0,5.0
7033359,1.0,1.0,0.0,2.0,0.0,0.0
7033407,0.0,1.0,0.0,3.0,0.0,0.0
7033618,0.0,1.0,0.0,3.0,0.0,0.0
703542,1.0,1.0,0.0,3.0,0.0,0.0
703814,0.0,1.0,0.0,3.0,0.0,0.0
703825,0.0,1.0,0.0,3.0,0.0,0.0
704006,0.0,1.0,0.0,3.0,0.0,0.0
7040768,2.0,4.0,-1.0,0.0,3.0,5.0
7040923,0.0,1.0,0.0,3.0,0.0,0.0
704288,1.0,1.0,0.0,2.0,0.0,0.0
7045009,5.0,5.0,-1.0,1.0,2.0,1.0
7045894,1.0,5.0,2.0,1.0,2.0,4.0
7046562,1.0,1.0,0.0,3.0,0.0,0.0
7050222,0.0,1.0,0.0,3.0,0.0,0.0
7050577,1.0,1.0,0.0,2.0,0.0,0.0
7051157,5.0,5.0,-1.0,1.0,2.0,4.0
7053891,1.0,1.0,0.0,3.0,0.0,0.0
7055791,0.0,1.0,0.0,3.0,0.0,0.0
7058138,1.0,1.0,0.0,3.0,0.0,0.0
705836,0.0,1.0,0.0,3.0,0.0,0.0
7060513,1.0,5.0,0.0,2.0,0.0,4.0
706355,1.0,1.0,0.0,3.0,0.0,0.0
706539667,1.0,1.0,0.0,2.0,0.0,0.0
7068,1.0,5.0,0.0,2.0,0.0,4.0
7068008,1.0,1.0,0.0,2.0,0.0,0.0
7068083,5.0,5.0,-1.0,1.0,2.0,4.0
7069604,1.0,1.0,0.0,2.0,0.0,0.0
7069867,1.0,1.0,0.0,2.0,0.0,0.0
7070951,1.0,5.0,0.0,2.0,2.0,4.0
70750616,1.0,5.0,0.0,2.0,0.0,0.0
7077496,1.0,1.0,0.0,2.0,0.0,0.0
7078202,2.0,0.0,-1.0,4.0,2.0,1.0
708501,0.0,1.0,-1.0,3.0,0.0,0.0
7085503,0.0,1.0,0.0,3.0,0.0,0.0
708610,1.0,1.0,0.0,2.0,0.0,0.0
7087576,1.0,1.0,0.0,2.0,0.0,0.0
