,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
3936812,3.0,1.0,0.0,0.0,1.0,3.0
39377,1.0,3.0,0.0,0.0,2.0,0.0
3937730,3.0,1.0,0.0,0.0,1.0,3.0
39380989,4.0,0.0,-1.0,1.0,2.0,4.0
39386538,4.0,4.0,0.0,2.0,2.0,4.0
393996,0.0,3.0,0.0,5.0,2.0,0.0
3940198,5.0,2.0,-1.0,4.0,1.0,5.0
39413507,0.0,3.0,0.0,5.0,2.0,0.0
39433733,4.0,4.0,0.0,2.0,2.0,4.0
3943526,1.0,3.0,0.0,0.0,2.0,0.0
39436,0.0,3.0,0.0,5.0,2.0,0.0
3944380,4.0,4.0,-1.0,2.0,2.0,4.0
3944785,3.0,1.0,0.0,3.0,1.0,3.0
3948288,0.0,3.0,0.0,5.0,2.0,0.0
394845,3.0,1.0,0.0,0.0,1.0,3.0
3948602,3.0,1.0,0.0,0.0,1.0,3.0
3949486,4.0,4.0,0.0,2.0,2.0,4.0
39516640,5.0,5.0,-1.0,3.0,1.0,1.0
39521059,5.0,2.0,-1.0,4.0,3.0,5.0
39532,4.0,4.0,0.0,2.0,2.0,4.0
3953725,0.0,3.0,0.0,5.0,2.0,0.0
3954962,4.0,4.0,0.0,2.0,2.0,4.0
3955054,5.0,2.0,-1.0,4.0,3.0,5.0
3956086,3.0,1.0,0.0,0.0,1.0,3.0
3956320,1.0,3.0,0.0,0.0,2.0,0.0
39623983,4.0,4.0,0.0,2.0,2.0,4.0
39661195,1.0,3.0,0.0,0.0,2.0,0.0
39683989,0.0,3.0,0.0,5.0,2.0,0.0
39690,0.0,3.0,0.0,5.0,2.0,0.0
39690181,3.0,1.0,0.0,0.0,1.0,3.0
39696952,2.0,4.0,0.0,2.0,2.0,0.0
3970593,5.0,5.0,-1.0,3.0,1.0,1.0
3972371,0.0,3.0,0.0,5.0,2.0,0.0
39726961,5.0,5.0,-1.0,3.0,1.0,1.0
39744497,5.0,5.0,-1.0,3.0,1.0,1.0
3974497,4.0,4.0,0.0,2.0,2.0,4.0
39774517,0.0,3.0,0.0,5.0,2.0,0.0
3977664,4.0,4.0,0.0,2.0,2.0,4.0
3977987,3.0,1.0,0.0,0.0,1.0,3.0
39788008,3.0,1.0,0.0,0.0,1.0,3.0
39788660,0.0,3.0,0.0,0.0,2.0,0.0
3979568,3.0,1.0,0.0,0.0,1.0,3.0
39795788,4.0,4.0,0.0,2.0,2.0,4.0
39797277,3.0,1.0,0.0,0.0,1.0,3.0
39808300,0.0,3.0,0.0,5.0,2.0,0.0
39808689,3.0,1.0,0.0,0.0,1.0,3.0
39808775,3.0,1.0,0.0,0.0,1.0,3.0
3982176,3.0,1.0,0.0,0.0,1.0,3.0
3982624,4.0,4.0,0.0,2.0,2.0,4.0
3983859,4.0,4.0,0.0,2.0,2.0,4.0
3983870,1.0,3.0,0.0,0.0,2.0,0.0
39843380,3.0,1.0,0.0,0.0,1.0,3.0
39851887,0.0,3.0,0.0,5.0,2.0,0.0
39855142,4.0,0.0,-1.0,1.0,0.0,2.0
3985601,5.0,5.0,3.0,3.0,1.0,1.0
3987249,4.0,4.0,0.0,2.0,2.0,4.0
39872747,4.0,4.0,0.0,2.0,2.0,4.0
3988413,1.0,3.0,0.0,0.0,2.0,0.0
39894415,1.0,3.0,0.0,0.0,2.0,0.0
3990038,5.0,2.0,-1.0,4.0,3.0,5.0
39901710,4.0,0.0,-1.0,1.0,0.0,2.0
39902911,3.0,1.0,0.0,0.0,1.0,3.0
39906030,3.0,1.0,0.0,0.0,1.0,3.0
3990637,4.0,4.0,0.0,2.0,2.0,4.0
3992073,1.0,3.0,0.0,0.0,2.0,0.0
39926134,5.0,5.0,-1.0,3.0,1.0,1.0
3992907,3.0,1.0,0.0,0.0,1.0,3.0
3993661,3.0,1.0,0.0,0.0,1.0,3.0
3993821,5.0,2.0,-1.0,4.0,3.0,5.0
3994301,0.0,3.0,0.0,5.0,2.0,0.0
3994730,4.0,4.0,0.0,2.0,2.0,4.0
3994864,4.0,4.0,0.0,2.0,2.0,4.0
39956085,5.0,5.0,-1.0,3.0,1.0,1.0
39959737,3.0,1.0,0.0,0.0,1.0,3.0
39959866,3.0,1.0,0.0,3.0,1.0,3.0
39959949,3.0,1.0,0.0,3.0,1.0,3.0
3996512,5.0,5.0,3.0,3.0,1.0,1.0
39971154,3.0,1.0,0.0,0.0,1.0,3.0
39981233,5.0,5.0,-1.0,3.0,1.0,1.0
3998465,3.0,1.0,0.0,0.0,1.0,3.0
39996829,4.0,0.0,-1.0,1.0,0.0,2.0
4001692,3.0,1.0,0.0,0.0,1.0,3.0
40020647,5.0,5.0,-1.0,3.0,1.0,1.0
4002643,3.0,1.0,0.0,0.0,1.0,3.0
40028415,3.0,1.0,0.0,0.0,1.0,3.0
40035167,3.0,1.0,0.0,0.0,1.0,3.0
40042950,5.0,5.0,3.0,3.0,1.0,1.0
40047169,3.0,1.0,0.0,0.0,1.0,3.0
400520,3.0,1.0,0.0,0.0,1.0,3.0
40057327,4.0,0.0,-1.0,1.0,0.0,2.0
4006454,5.0,5.0,-1.0,3.0,1.0,1.0
40064648,5.0,5.0,-1.0,3.0,1.0,1.0
400678,3.0,1.0,0.0,0.0,1.0,3.0
400849,5.0,5.0,-1.0,3.0,1.0,1.0
40086731,4.0,4.0,0.0,2.0,2.0,4.0
