,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
32290263,3.0,1.0,-1.0,3.0,1.0,1.0
32293,0.0,2.0,0.0,0.0,3.0,0.0
32307732,1.0,1.0,0.0,0.0,3.0,0.0
32308098,0.0,0.0,0.0,0.0,3.0,0.0
3231147,1.0,0.0,0.0,0.0,3.0,0.0
32316797,1.0,1.0,-1.0,0.0,3.0,0.0
32318749,1.0,0.0,0.0,0.0,3.0,0.0
3232066,1.0,0.0,0.0,0.0,3.0,0.0
32325782,1.0,0.0,0.0,0.0,3.0,0.0
3233061,0.0,2.0,-1.0,2.0,3.0,2.0
32334105,1.0,0.0,0.0,0.0,3.0,0.0
32334388,0.0,2.0,-1.0,2.0,0.0,2.0
32346255,1.0,0.0,0.0,0.0,3.0,0.0
32361528,1.0,0.0,0.0,0.0,3.0,0.0
32362265,0.0,0.0,0.0,0.0,3.0,0.0
32362790,0.0,0.0,0.0,0.0,3.0,0.0
32365384,0.0,2.0,0.0,0.0,3.0,2.0
3236804,1.0,0.0,0.0,0.0,3.0,0.0
3237197,1.0,0.0,0.0,0.0,3.0,0.0
3237380,0.0,2.0,-1.0,2.0,0.0,2.0
3237690,1.0,1.0,-1.0,3.0,3.0,1.0
3238173,1.0,0.0,0.0,0.0,3.0,0.0
3238282,3.0,1.0,-1.0,3.0,1.0,1.0
3238420,1.0,0.0,0.0,0.0,3.0,0.0
3239450,0.0,0.0,0.0,0.0,3.0,0.0
32410259,1.0,0.0,0.0,0.0,3.0,0.0
3241517,0.0,2.0,0.0,2.0,3.0,2.0
32434314,3.0,1.0,-1.0,3.0,1.0,1.0
3243473,0.0,2.0,-1.0,2.0,0.0,2.0
3243580,0.0,0.0,0.0,0.0,3.0,0.0
32454330,1.0,0.0,0.0,0.0,3.0,0.0
32454478,1.0,0.0,0.0,0.0,3.0,0.0
32463986,3.0,1.0,-1.0,3.0,1.0,1.0
32468533,0.0,0.0,0.0,0.0,3.0,0.0
32480247,1.0,0.0,0.0,0.0,3.0,0.0
32497406,0.0,0.0,0.0,0.0,3.0,0.0
32500852,0.0,2.0,-1.0,2.0,0.0,2.0
3250333,0.0,2.0,-1.0,2.0,0.0,2.0
32504748,1.0,1.0,-1.0,0.0,3.0,0.0
32506567,0.0,2.0,0.0,2.0,3.0,2.0
3251366,1.0,1.0,-1.0,0.0,3.0,1.0
3251402,3.0,1.0,-1.0,3.0,1.0,1.0
